Date,Price,Open,High,Low,Vol.,Change %
"Aug 24, 2017","1,291.93","1,296.00","1,296.80","1,289.30",-,-0.21%
"Aug 23, 2017","1,294.70","1,290.40","1,297.00","1,287.90",235.69K,0.29%
"Aug 22, 2017","1,291.00","1,297.10","1,298.10","1,287.00",268.99K,-0.44%
"Aug 21, 2017","1,296.70","1,289.10","1,299.70","1,286.20",261.48K,0.39%
"Aug 18, 2017","1,291.60","1,293.80","1,306.90","1,289.10",396.54K,-0.06%
"Aug 17, 2017","1,292.40","1,290.00","1,296.00","1,286.40",329.84K,0.74%
"Aug 16, 2017","1,282.90","1,276.90","1,289.50","1,273.20",273.20K,0.25%
"Aug 15, 2017","1,279.70","1,287.00","1,287.70","1,272.70",287.56K,-0.83%
"Aug 14, 2017","1,290.40","1,296.40","1,296.40","1,284.20",238.07K,-0.28%
"Aug 11, 2017","1,294.00","1,292.50","1,298.10","1,286.70",265.33K,0.30%
"Aug 10, 2017","1,290.10","1,283.20","1,293.80","1,280.30",269.83K,0.84%
"Aug 09, 2017","1,279.30","1,266.10","1,284.70","1,265.90",290.97K,1.32%
"Aug 08, 2017","1,262.60","1,262.90","1,271.00","1,257.10",247.54K,-0.17%
"Aug 07, 2017","1,264.70","1,264.30","1,265.60","1,261.30",123.21K,0.01%
"Aug 04, 2017","1,264.60","1,275.30","1,276.50","1,259.80",270.85K,-0.77%
"Aug 03, 2017","1,274.40","1,272.60","1,277.00","1,262.90",207.02K,-0.31%
"Aug 02, 2017","1,278.40","1,275.20","1,279.00","1,268.90",210.98K,-0.08%
"Aug 01, 2017","1,279.40","1,275.60","1,280.30","1,268.40",213.54K,0.47%
"Jul 31, 2017","1,273.40","1,276.30","1,277.30","1,271.70",165.13K,-0.15%
"Jul 28, 2017","1,275.30","1,265.00","1,277.00","1,263.20",250.89K,0.69%
"Jul 27, 2017","1,266.50","1,266.80","1,271.30","1,260.30",161.44K,0.87%
"Jul 26, 2017","1,255.60","1,256.20","1,269.80","1,249.40",95.79K,-0.23%
"Jul 25, 2017","1,258.50","1,261.90","1,264.20","1,255.10",62.31K,0.33%
