Date,Price,Open,High,Low,Vol.,Change %
"Aug 24, 2017",16.940,17.085,17.100,16.815,-,-0.62%
"Aug 23, 2017",17.046,16.980,17.105,16.910,80.19K,0.38%
"Aug 22, 2017",16.982,17.005,17.115,16.870,88.51K,-0.19%
"Aug 21, 2017",17.015,16.935,17.120,16.830,90.12K,0.70%
"Aug 20, 2017",16.896,16.939,16.944,16.829,-,-0.61%
"Aug 18, 2017",17.000,17.035,17.320,16.850,113.50K,-0.31%
"Aug 17, 2017",17.053,17.035,17.055,17.030,98.94K,0.67%
"Aug 16, 2017",16.940,16.640,17.130,16.610,99.91K,1.35%
"Aug 15, 2017",16.714,17.060,17.065,16.560,98.50K,-2.38%
"Aug 14, 2017",17.122,17.130,17.215,16.925,73.47K,0.27%
"Aug 13, 2017",17.076,17.104,17.110,17.064,-,0.04%
"Aug 11, 2017",17.070,17.125,17.195,16.880,94.48K,0.03%
"Aug 10, 2017",17.065,16.940,17.240,16.850,105.22K,1.20%
"Aug 09, 2017",16.863,16.440,16.945,16.430,106.93K,2.89%
"Aug 08, 2017",16.389,16.240,16.460,16.205,79.11K,0.85%
"Aug 07, 2017",16.251,16.270,16.280,16.095,58.15K,0.16%
"Aug 06, 2017",16.225,16.267,16.267,16.225,-,-0.17%
"Aug 04, 2017",16.252,16.700,16.750,16.170,97.42K,-2.27%
"Aug 03, 2017",16.630,16.570,16.680,16.420,57.97K,-0.62%
"Aug 02, 2017",16.733,16.695,16.960,16.455,77.87K,-0.18%
"Aug 01, 2017",16.764,16.835,16.845,16.590,61.89K,-0.13%
"Jul 31, 2017",16.786,16.745,16.870,16.665,56.47K,0.08%
"Jul 30, 2017",16.773,16.757,16.787,16.752,-,0.47%
"Jul 28, 2017",16.695,16.575,16.750,16.505,49.95K,0.74%
"Jul 27, 2017",16.573,16.640,16.810,16.540,69.33K,0.69%
"Jul 26, 2017",16.459,16.465,16.680,16.280,67.14K,-0.50%
"Jul 25, 2017",16.542,16.460,16.605,16.225,76.17K,0.60%
